timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:11:11.255991,normal,2,3,0.995,
2025-11-12 20:11:11.285672,normal,2,3,1.005,
2025-11-12 20:11:11.316864,normal,2,3,1.001,
2025-11-12 20:11:11.351740,normal,2,3,1.0,
2025-11-12 20:11:11.383891,normal,2,3,1.0,
2025-11-12 20:11:11.423540,normal,2,2,1.0,
2025-11-12 20:11:11.453605,normal,1,3,1.004,
2025-11-12 20:11:11.495574,normal,2,3,1.009,
2025-11-12 20:11:11.519448,normal,1,3,1.0,
2025-11-12 20:11:11.539877,normal,1,3,1.005,
2025-11-12 20:11:11.562130,normal,1,3,1.005,
2025-11-12 20:11:11.591721,normal,2,3,1.0,
2025-11-12 20:11:11.627870,normal,1,2,1.0,
2025-11-12 20:11:11.653195,normal,0,3,1.0,
2025-11-12 20:11:11.691982,normal,0,4,0.996,
2025-11-12 20:11:11.726680,normal,-1,3,1.0,
2025-11-12 20:11:11.761620,normal,0,3,1.004,
2025-11-12 20:11:11.795736,normal,-3,3,1.014,
2025-11-12 20:11:11.825340,normal,-2,4,1.009,
2025-11-12 20:11:11.851687,normal,-3,4,1.014,
2025-11-12 20:11:11.883192,normal,-4,4,1.009,
2025-11-12 20:11:11.911936,normal,-3,3,1.009,
2025-11-12 20:11:11.945844,normal,-4,4,1.009,
2025-11-12 20:11:11.973855,normal,-4,3,1.014,
2025-11-12 20:11:12.011985,normal,-5,3,1.024,
2025-11-12 20:11:12.048546,normal,-5,3,1.014,
2025-11-12 20:11:12.071463,normal,-4,3,1.009,
2025-11-12 20:11:12.111653,normal,-5,3,1.014,
2025-11-12 20:11:12.149845,normal,-5,3,1.014,
2025-11-12 20:11:12.183726,normal,-5,3,1.009,
2025-11-12 20:11:12.216686,normal,-6,4,1.014,
2025-11-12 20:11:12.251451,normal,-4,3,1.004,
2025-11-12 20:11:12.283538,normal,-4,3,1.019,
2025-11-12 20:11:12.321979,normal,-4,3,1.003,
2025-11-12 20:11:12.352541,normal,-4,3,1.008,
2025-11-12 20:11:12.397843,normal,-4,3,1.014,
2025-11-12 20:11:12.432996,normal,-3,3,1.023,
2025-11-12 20:11:12.461646,normal,-3,3,1.023,
2025-11-12 20:11:12.491875,normal,-2,3,1.014,
2025-11-12 20:11:12.521644,normal,-2,3,1.027,
2025-11-12 20:11:12.552563,normal,-3,4,1.023,
2025-11-12 20:11:12.583998,normal,-3,3,1.008,
2025-11-12 20:11:12.616217,normal,-4,3,1.008,
2025-11-12 20:11:12.644211,normal,-3,4,1.008,
2025-11-12 20:11:12.671640,normal,-3,3,1.014,
2025-11-12 20:11:12.701516,normal,-4,2,1.014,
2025-11-12 20:11:12.731818,normal,-2,4,1.008,
2025-11-12 20:11:12.764289,normal,-3,3,1.014,
2025-11-12 20:11:13.729298,normal,-3,2,1.014,
2025-11-12 20:11:13.764009,normal,-3,3,1.008,
2025-11-12 20:11:13.800386,normal,-3,3,1.028,
2025-11-12 20:11:13.834616,normal,-3,2,1.018,
2025-11-12 20:11:13.861718,normal,-4,2,1.018,
2025-11-12 20:11:13.903875,normal,-4,2,1.003,
2025-11-12 20:11:13.931903,normal,-4,2,1.014,
2025-11-12 20:11:13.964351,normal,-4,3,1.018,
2025-11-12 20:11:13.994330,normal,-3,2,1.018,
2025-11-12 20:11:14.022374,normal,-4,2,1.018,
2025-11-12 20:11:14.053078,normal,-4,3,1.014,
2025-11-12 20:11:14.082493,normal,-4,2,1.023,
2025-11-12 20:11:14.111896,normal,-4,3,1.019,
2025-11-12 20:11:14.135255,normal,-3,3,1.014,
2025-11-12 20:11:14.167773,normal,-3,3,1.013,
2025-11-12 20:11:14.191668,normal,-4,2,1.023,
2025-11-12 20:11:14.225061,normal,-2,3,1.014,
2025-11-12 20:11:14.261530,normal,-4,3,1.019,
2025-11-12 20:11:14.301811,normal,-3,2,1.023,
2025-11-12 20:11:14.333704,normal,-3,2,1.014,
2025-11-12 20:11:14.381854,normal,-3,3,1.019,
2025-11-12 20:11:14.402006,normal,-2,2,1.01,
2025-11-12 20:11:14.437424,normal,-3,4,1.025,
2025-11-12 20:11:14.471762,normal,-3,2,1.009,
2025-11-12 20:11:14.501874,normal,-3,3,1.01,
2025-11-12 20:11:14.534835,normal,-3,3,1.009,
